epoch,step,train_loss
0,49,6.49926233291626
1,99,3.9575750827789307
1,149,5.122257232666016
2,199,2.899641275405884
3,249,2.7449758052825928
3,299,2.6194560527801514
4,349,3.3417205810546875
5,399,3.338698625564575
5,449,3.66672945022583
6,499,3.5939388275146484
7,549,3.042128562927246
7,599,2.3496944904327393
8,649,2.3669466972351074
9,699,2.7797317504882812
9,749,3.8986778259277344
10,799,2.131791353225708
11,849,1.7267440557479858
11,899,3.1744258403778076
12,949,3.204484224319458
13,999,2.5386695861816406
13,1049,2.8043601512908936
14,1099,2.9705843925476074
15,1149,3.2848517894744873
15,1199,3.196925401687622
16,1249,3.320751190185547
17,1299,2.6069374084472656
17,1349,2.893817186355591
18,1399,3.086564064025879
19,1449,3.5021469593048096
19,1499,2.5632715225219727
